1	15.85	1403014575	1487	4.05
2	8.73	319238385	3446	2.25
3	5.33	1547816	3789	1.40
0	0.16	25635	119	0.08
1	9.82	198402325	5987	2.53
2	71.06	211703950	52963	17.85
3	2.96	501478	2238	0.77
0	0.09	25838	65	0.04
1	14.40	1321688301	990	3.70
2	118.48	930100320	81214	30.11
3	107.44	2365589	81733	27.32
0	0.23	8450	190	0.08
1	6.52	505917445	1217	1.66
2	319.35	3582186478	207157	80.82
3	89.98	752423	68327	22.82
0	0.18	11331	133	0.09
1	7.90	422038494	2757	2.05
2	111.30	2456318596	67377	28.26
3	4.59	812016	2792	1.23
0	0.29	10137	193	0.10
1	3.59	266754812	761	0.91
2	2.15	174830703	225	0.62
3	33.63	586116	20843	8.66
0	0.17	14410	136	0.08
1	7.22	214476334	4049	1.83
2	86.29	372453186	66754	22.24
3	39.80	776520	29387	10.20
0	0.22	23631	148	0.09
1	4.41	357021338	236	1.13
2	141.09	3204323089	79363	35.60
3	30.57	286860	24023	7.73
0	0.27	15325	206	0.08
1	8.55	37690837	6345	2.21
2	270.17	1530567701	199359	68.46
3	30.44	245069	23953	7.80
0	0.12	6385	89	0.06
1	2.89	205803309	441	0.75
2	29.87	31620857	22106	7.60
3	15.89	426882	11642	4.02
0	0.16	22008	124	0.08
1	0.85	8090057	502	0.23
2	17.24	945544023	6159	4.46
3	174.80	2746454	132847	44.37
0	0.17	10033	134	0.08
1	11.36	903831381	2012	2.90
2	72.68	3137850223	31677	18.39
3	0.30	441262	196	0.10
0	0.19	6614	152	0.08
1	4.17	324521199	752	1.06
2	66.50	82368498	50036	16.66
3	119.48	1127669	89523	30.79
0	0.24	18547	160	0.08
1	3.20	197833443	1001	0.81
2	346.57	6044946289	210624	88.14
3	160.93	1383117	120357	40.53
0	0.30	30125	217	0.09
1	3.18	21610534	2245	0.85
2	18.16	132737708	12712	4.57
3	128.51	239615	98319	32.51
0	0.23	11828	161	0.10
1	5.52	318318922	961	1.46
